,AGRADECIMENTO,DESPEDIDA,FEEDBACK_NEGATIVO,PEDIDO_AJUDA,SAUDACAO
606,muit obrig por resolv meu probl,tenha uma boa semana,can tant incompetenc,estou com um probl,ola tud tranquil
607,muit obrig resolv probl,tenha boa semana,nao quero mais ter nenhum tipo de relaçao com isso,alguem pode me orientar,ola preciso de ajuda para solucionar um problema em uma bomba
608,agradeço pelo excelente serviço,tenh uma boa seman,nao quero ter nenhum tipo relaçao,alguem pode orientar,ola preciso ajuda solucionar problema bomba
609,agradeço excelente serviço,tenh boa seman,nao quer mais ter nenhum tip de relaça com isso,algu pod me orient,ola precis de ajud par solucion um problem em uma bomb
610,agradec pel excelent servic,desejo lhe tudo de bom,nao quer ter nenhum tip relaça,algu pod orient,ola precis ajud solucion problem bomb
611,agradec excelent servic,desejo tudo bom,nao quer mais ter nenhum tip de relac com isso,como economizar energia em meu sistema industrial,ola precis ajud par solucion problem bomb
612,muito obrigado por me orientar,desej lhe tud de bom,nao quer ter nenhum tip relac,economizar energia sistema industrial,ola prec de ajud par solucion um probl em uma bomb
613,obrigado orientar,desej tud bom,nao sou tratado com a devida atençao,com economiz energ em meu sistem industrial,ola prec ajud par solucion probl bomb
614,muit obrig por me orient,ate a proxima conversa,nao tratado devida atençao,economiz energ sistem industrial,ola prec ajud solucion probl bomb
615,obrig orient,ate proxima conversa,nao sou trat com a dev atença,com economiz energ em meu sist industrial,oi preciso de ajuda para resolver um problema em um sistema hidraulico
616,muit obrig orient,ate a proxim convers,nao trat dev atença,economiz energ sist industrial,oi preciso ajuda resolver problema sistema hidraulico
617,agradeço a prontidao na resposta,ate proxim convers,nao sou trat com a dev atenc,qual e a melhor forma de corrigir um problema de superaquecimento,oi precis de ajud par resolv um problem em um sistem hidraul
618,agradeço prontidao resposta,tenha um bom descanso,nao trat dev atenc,melhor forma corrigir problema superaquecimento,oi precis ajud resolv problem sistem hidraul
619,agradec a prontida na respost,tenha bom descanso,estou enojado com essa situaçao,qual e a melhor form de corrig um problem de superaquec,oi precis ajud par resolv problem sistem hidraul
620,agradec prontida respost,tenh um bom descans,enojado situaçao,melhor form corrig problem superaquec,oi prec de ajud par resolv um probl em um sist hidraul
621,agradec a pront na respost,tenh bom descans,estou enoj com essa situaça,qual e a melhor form de corrig um probl de superaquec,oi prec ajud par resolv probl sist hidraul
622,agradec pront respost,ate a proxima oportunidade,enoj situaça,melhor form corrig probl superaquec,oi prec ajud resolv probl sist hidraul
623,obrigado pela eficiencia,ate proxima oportunidade,estou enoj com essa situac,estou sofrendo com queda de produçao em minha linha de envase como posso solucionar o problema,oi como posso ajuda lo com problemas industriais
624,obrigado eficiencia,ate a proxim oportun,enoj situac,sofrendo queda produçao linha envase posso solucionar problema,oi posso ajuda lo problemas industriais
625,obrig pel eficienc,ate proxim oportun,nao confio mais nessa empresa,estou sofr com qued de produça em minh linh de envas com poss solucion o problem,oi com poss ajud lo com problem industri
626,obrig eficienc,desejo lhe sucesso,nao confio nessa empresa,sofr qued produça linh envas poss solucion problem,oi poss ajud lo problem industri
627,muito obrigado por me ajudar a entender,desejo sucesso,nao confi mais ness empres,sofr qued produça minh linh envas poss solucion problem,oi com po ajud lo com problem industri
628,obrigado ajudar entender,desej lhe sucess,nao confi ness empres,estou sofr com qued de produça em minh linh de envas com po solucion o problem,oi com poss ajud lo com probl industr
629,muit obrig por me ajud a entend,desej sucess,nao conf mais ness empres,estou sofr com qued de produc em minh linh de envas com poss solucion o probl,oi po ajud lo problem industri
630,obrig ajud entend,foi um prazer falar com voce,nao conf ness empres,sofr qued produça minh linh envas po solucion problem,oi com po ajud lo com probl industr
631,muit obrig ajud entend,prazer falar voce,isso e uma falta de consideraçao tremenda,estou sofr com qued de produc em minh linh de envas com po solucion o probl,oi poss ajud lo probl industr
632,agradeço imensamente sua colaboraçao,foi um praz fal com voc,falta consideraçao tremenda,sofr qued produc minh linh envas poss solucion probl,oi po ajud lo probl industr
633,agradeço imensamente colaboraçao,praz fal voc,isso e uma falt de consideraça tremend,sofr qued produça linh envas po solucion problem,ola como esta indo hoje em que posso ajudar
634,agradec imens sua colaboraça,tenha um dia maravilhoso,falt consideraça tremend,sofr qued produc linh envas poss solucion probl,ola indo hoje posso ajudar
635,agradec imens colaboraça,tenha dia maravilhoso,isso e uma falt de considerac tremend,sofr qued produc linh envas po solucion probl,ola com esta indo hoj em que poss ajud
636,agradec imens sua colaborac,tenh um dia maravilh,falt considerac tremend,sofr qued produc minh linh envas po solucion probl,ola indo hoj poss ajud
637,agradec imens colaborac,tenh dia maravilh,uma verdadeira falta de comprometimento com o cliente,minha maquina esta apresentando mau contato o que devo fazer,ola com esta indo hoj em que po ajud
638,obrigado por tornar tudo mais facil,ate mais tarde amigo,verdadeira falta comprometimento cliente,maquina apresentando mau contato devo fazer,ola indo hoj po ajud
639,obrigado tornar tudo facil,ate tarde amigo,uma verdadeir falt de compromet com o client,minh maquin esta apresent mau contat o que dev faz,boa tarde o que posso fazer por voce hoje
640,obrig por torn tud mais facil,ate mais tard amig,verdadeir falt compromet client,maquin apresent mau contat dev faz,boa tarde posso fazer voce hoje
641,obrig torn tud facil,ate tard amig,uma verdad falt de compromet com o client,minh maquin apresent mau contat dev faz,boa tard o que poss faz por voc hoj
642,muito obrigado por sua generosidade,desejo lhe um otimo fim de semana,verdad falt compromet client,o robo da minha fabrica parou de funcionar como posso conserta lo,boa tard poss faz voc hoj
643,muit obrig por sua generos,desejo otimo fim semana,nao consigo acreditar que isso esta acontecendo,robo fabrica parou funcionar posso conserta lo,boa tard o que po faz por voc hoj
644,muit obrig generos,desej lhe um otim fim de seman,nao consigo acreditar acontecendo,o rob da minh fabric par de funcion com poss consert lo,boa tard po faz voc hoj
645,muit obrig por sua gener,desej otim fim seman,nao consig acredit que isso esta acontec,rob fabric par funcion poss consert lo,oi estou com um problema no meu equipamento
646,muit obrig gener,espero te ver em breve,nao consig acredit acontec,rob minh fabric par funcion poss consert lo,oi problema equipamento
647,muit obrig por sua gen,espero ver breve,estou revoltado com essa situaçao,o rob da minh fabric par de funcion com po consert lo,oi estou com um problem no meu equip
648,muit obrig gen,esper te ver em brev,revoltado situaçao,rob minh fabric par funcion po consert lo,oi problem equip
649,obrigado por ser tao profissional,esper ver brev,estou revolt com essa situaça,rob fabric par funcion po consert lo,oi estou com um probl no meu equip
650,obrigado tao profissional,tenha um bom tempo,revolt situaça,a luz indicadora do meu equipamento esta piscando isso e grave,oi probl equip
651,obrig por ser tao profissional,tenha bom tempo,estou revolt com essa situac,luz indicadora equipamento piscando grave,oi tudo joia
652,obrig tao profissional,tenh um bom temp,revolt situac,a luz indic do meu equip esta pisc isso e grav,oi tud joi
653,muito obrigado pela sua dedicaçao continua,tenh bom temp,nao recebi o suporte necessario,luz indic equip pisc grav,boa tarde como posso ajuda lo
654,obrigado dedicaçao continua,ate logo meu amigo,nao recebi suporte necessario,poderia me ajudar com um problema na maquina de corte,boa tarde posso ajuda lo
655,muito obrigado pela sua dedicaçao continuum,ate logo amigo,nao receb o suport necessari,poderia ajudar problema maquina corte,boa tard com poss ajud lo
656,muit obrig pel sua dedicaça continu,ate log meu amig,nao receb suport necessari,pod me ajud com um problem na maquin de cort,boa tard poss ajud lo
657,obrigado dedicaçao continuum,ate log amig,nao receb o suport necessar,pod ajud problem maquin cort,boa tard com po ajud lo
658,muit obrig pel sua dedicaça continuum,desejo lhe um bom dia,nao receb suport necessar,pod me ajud com um probl na maquin de cort,boa tard po ajud lo
659,obrig dedicaça continu,desejo bom dia,nao receb o suport necess,pod ajud probl maquin cort,ola o que voce precisa
660,obrig dedicaça continuum,desej lhe um bom dia,nao receb suport necess,o sistema hidraulico do equipamento nao esta pressurizando como devo solucionar,ola voce precisa
661,muit obrig pel dedicaça continu,desej bom dia,total falta de responsabilidade,sistema hidraulico equipamento nao pressurizando devo solucionar,ola o que voc precis
662,muit obrig pel sua dedicac continu,ate mais tarde companheiro,total falta responsabilidade,o sistem hidraul do equip nao esta pressuriz com dev solucion,ola voc precis
663,muit obrig pel dedicac continu,ate tarde companheiro,total falt de respons,sistem hidraul equip nao pressuriz dev solucion,ola o que voc prec
664,muit obrig pel dedicaça continuum,ate mais tard companheir,total falt respons,o sist hidraul do equip nao esta pressuriz com dev solucion,ola voc prec
665,muit obrig pel sua dedicac continuum,ate tard companheir,nao vale a pena passar por tudo isso,sist hidraul equip nao pressuriz dev solucion,boa tarde acho que meu equipamento esta com defeito
666,muit obrig pel dedicac continuum,ate mais tard companh,nao vale pena passar tudo,meu maquinario esta apresentando problemas mecanicos o que devo fazer,boa tarde acho equipamento defeito
667,obrig dedicac continu,ate tard companh,nao val a pen pass por tud isso,maquinario apresentando problemas mecanicos devo fazer,boa tard acho que meu equip esta com defeit
668,obrig dedicac continuum,tenha uma otima noite,nao val pen pass tud,meu maquinari esta apresent problem mecan o que dev faz,boa tard acho equip defeit
669,agradeço por ir alem das minhas expectativas,tenha otima noite,nao val a pen pas por tud isso,maquinari apresent problem mecan dev faz,boa noite qual e a soluçao para meu problema
670,agradeço ir alem expectativas,tenh uma otim noit,nao val pen pas tud,meu maquinar esta apresent probl mecan o que dev faz,boa noite soluçao problema
671,agradeço por ir alem da minhas expectativas,tenh otim noit,nao val a pen pa por tud isso,maquinar apresent probl mecan dev faz,boa noit qual e a soluça par meu problem
672,agradec por ir alem das minh expect,ate mais tarde colega,nao val pen pa tud,meu maquin esta apresent probl mecan o que dev faz,boa noit soluça problem
673,agradec por ir alem da minh expect,ate tarde colega,nao estou satisfeito,maquin apresent probl mecan dev faz,boa noit soluça par problem
674,agradec ir alem expect,ate mais tard coleg,nao satisfeito,estou enfrentando dificuldades com minha rede eletrica voce pode me dar alguma orientaçao,boa noit qual e a soluc par meu probl
675,agradec ir alem minh expect,ate tard coleg,nao estou satisfeit,enfrentando dificuldades rede eletrica voce pode dar alguma orientaçao,boa noit soluc par probl
676,obrigado por fazer um otimo trabalho,desejo lhe tudo de bom para o futuro,nao satisfeit,estou enfrent dificuldad com minh red eletr voc pod me dar algum orientaça,boa noit soluc probl
677,obrigado fazer otimo trabalho,desejo tudo bom futuro,estou insatisfeito com isso,enfrent dificuldad red eletr voc pod dar algum orientaça,eaew
678,obrig por faz um otim trabalh,desej lhe tud de bom par o futur,estou insatisfeit com isso,enfrent dificuldad minh red eletr voc pod dar algum orientaça,ola como posso te ajudar
679,obrig faz otim trabalh,desej tud bom futur,nao gostei do serviço,estou enfrent dificuldad com minh red eletr voc pod me dar algum orientac,ola com poss te ajud
680,muito obrigado por ser tao prestativo e amigavel,desej tud bom par futur,nao gostei serviço,enfrent dificuldad minh red eletr voc pod dar algum orientac,ola com po te ajud
681,obrigado tao prestativo amigavel,ate a proxima vez parceiro,nao gost do servic,enfrent dificuldad red eletr voc pod dar algum orientac,oi precisa de alguma assistencia
682,muit obrig por ser tao prestat e amigavel,ate proxima vez parceiro,nao gost servic,como resolver um problema de sobrecarga em meu chiller,oi precisa alguma assistencia
683,obrig tao prestat amigavel,ate a proxim vez parceir,nao estou contente com o atendimento,resolver problema sobrecarga chiller,oi precis de algum assistenc
684,muit obrig tao prestat amigavel,ate proxim vez parceir,nao contente atendimento,com resolv um problem de sobrecarg em meu chill,oi precis algum assistenc
685,agradeço por tornar isso uma experiencia agradavel,ate a proxim vez parc,nao estou content com o atend,resolv problem sobrecarg chill,oi prec de algum assistenc
686,agradeço tornar experiencia agradavel,ate proxim vez parc,nao content atend,com resolv um probl de sobrecarg em meu chill,oi prec algum assistenc
687,agradec por torn isso uma experienc agradavel,tenha um otimo feriado,fiquei decepcionado,resolv probl sobrecarg chill,ola estou aqui para responder suas duvidas
688,agradec torn experienc agradavel,tenha otimo feriado,fiqu decepcion,nao estou conseguindo ligar o equipamento o que pode ser,ola aqui responder duvidas
689,obrigado por sempre encontrar soluçoes,tenh um otim feri,estou desapontado,nao conseguindo ligar equipamento pode,ola estou aqu par respond suas duv
690,obrigado sempre encontrar soluçoes,tenh otim feri,desapontado,nao estou consegu lig o equip o que pod ser,ola aqu respond duv
